"MINISTRY";"DEPARTMENT";"CONFIRMED";"COUNTRY_CODE"
"Attorney General's Office";"Crown Prosecution Service";1;"GB"
"Attorney General's Office";"Government Legal Department";1;"GB"
"Attorney General's Office";"Serious Fraud Office";1;"GB"
"Attorney General's Office";"HM Crown Prosecution Service Inspectorate";1;"GB"
"Cabinet Office";"Office of the Leader of the House of Commons";1;"GB"
"Cabinet Office";"Office of the Leader of the House of Lords";1;"GB"
"Cabinet Office";"Crown Commercial Service";1;"GB"
"Cabinet Office";"Government Property Agency";1;"GB"
"Cabinet Office";"Civil Service Commission";1;"GB"
"Cabinet Office";"Advisory Committee on Business Appointments";1;"GB"
"Cabinet Office";"Boundary Commission for England";1;"GB"
"Cabinet Office";"Boundary Commission for Wales";1;"GB"
"Cabinet Office";"Committee on Standards in Public Life";1;"GB"
"Cabinet Office";"House of Lords Appointments Commission";1;"GB"
"Cabinet Office";"Security Vetting Appeals Panel";1;"GB"
"Cabinet Office";"Senior Salaries Review Body";1;"GB"
"Cabinet Office";"Commissioner for Public Appointments";1;"GB"
"Cabinet Office";"Government Estates Management";1;"GB"
"Cabinet Office";"Infrastructure and Projects Authority";1;"GB"
"Cabinet Office";"Office of the Registrar of Consultant Lobbyists";1;"GB"
"Cabinet Office";"Privy Council Office";1;"GB"
"Cabinet Office";"Civil service";1;"GB"
"Department for Business";" Competition and Markets Authority";1;"GB"
"Department for Business";" HM Land Registry";1;"GB"
"Department for Business";" Ofgem";1;"GB"
"Department for Business";" Companies House";1;"GB"
"Department for Business";" The Insolvency Service";1;"GB"
"Department for Business";" Intellectual Property Office";1;"GB"
"Department for Business";" Met Office";1;"GB"
"Department for Business";" UK Space Agency";1;"GB"
"Department for Business";" British Hallmarking Council";1;"GB"
"Department for Business";" Civil Nuclear Police Authority";1;"GB"
"Department for Business";" Coal Authority";1;"GB"
"Department for Business";" Committee on Climate Change";1;"GB"
"Department for Business";" Competition Service";1;"GB"
"Department for Business";" Nuclear Decommissioning Authority";1;"GB"
"Department for Business";" Small Business Commissioner";1;"GB"
"Department for Business";" UK Atomic Energy Authority";1;"GB"
"Department for Business";" UK Research and Innovation";1;"GB"
"Department for Business";" Committee on Fuel Poverty";1;"GB"
"Department for Business";" Committee on Radioactive Waste Management";1;"GB"
"Department for Business";" Council for Science and Technology";1;"GB"
"Department for Business";" Industrial Development Advisory Board";1;"GB"
"Department for Business";" Land Registration Rule Committee";1;"GB"
"Department for Business";" Low Pay Commission";1;"GB"
"Department for Business";" Nuclear Liabilities Financing Assurance Board";1;"GB"
"Department for Business";" Regulatory Policy Committee";1;"GB"
"Department for Business";" Central Arbitration Committee";1;"GB"
"Department for Business";" Competition Appeal Tribunal";1;"GB"
"Department for Business";" Copyright Tribunal";1;"GB"
"Department for Business";" Ordnance Survey";1;"GB"
"Department for Business";" British Business Bank";1;"GB"
"Department for Business";" Certification Officer";1;"GB"
"Department for Business";" Commissioner for Shale Gas";1;"GB"
"Department for Business";" Financial Reporting Council";1;"GB"
"Department for Business";" Government Office for Science";1;"GB"
"Department for Business";" Groceries Code Adjudicator";1;"GB"
"Department for Business";" Independent Complaints Reviewer";1;"GB"
"Department for Business";" Office of Manpower Economics";1;"GB"
"Department for Business";" Office of the Regulator of Community Interest Companies";1;"GB"
"Department for Business";" Oil and Gas Authority";1;"GB"
"Department for Business";" Pubs Code Adjudicator";1;"GB"
"Department for Digital & Culture & Media and Sport";" The National Archives";1;"GB"
"Department for Digital & Culture & Media and Sport";" Arts Council England";1;"GB"
"Department for Digital & Culture & Media and Sport";" Big Lottery Fund";1;"GB"
"Department for Digital & Culture & Media and Sport";" Birmingham Organising Committee for the 2022 Commonwealth Games Ltd";1;"GB"
"Department for Digital & Culture & Media and Sport";" British Film Institute";1;"GB"
"Department for Digital & Culture & Media and Sport";" British Library";1;"GB"
"Department for Digital & Culture & Media and Sport";" British Museum";1;"GB"
"Department for Digital & Culture & Media and Sport";" Gambling Commission";1;"GB"
"Department for Digital & Culture & Media and Sport";" Geffrye Museum";1;"GB"
"Department for Digital & Culture & Media and Sport";" Heritage Lottery Fund (administered by the NHMF)";1;"GB"
"Department for Digital & Culture & Media and Sport";" Historic England";1;"GB"
"Department for Digital & Culture & Media and Sport";" Horniman Public Museum and Public Park Trust";1;"GB"
"Department for Digital & Culture & Media and Sport";" Horserace Betting Levy Board";1;"GB"
"Department for Digital & Culture & Media and Sport";" Imperial War Museum";1;"GB"
"Department for Digital & Culture & Media and Sport";" Information Commissioner's Office";1;"GB"
"Department for Digital & Culture & Media and Sport";" National Gallery";1;"GB"
"Department for Digital & Culture & Media and Sport";" National Heritage Memorial Fund";1;"GB"
"Department for Digital & Culture & Media and Sport";" National Museums Liverpool";1;"GB"
"Department for Digital & Culture & Media and Sport";" National Portrait Gallery";1;"GB"
"Department for Digital & Culture & Media and Sport";" Natural History Museum";1;"GB"
"Department for Digital & Culture & Media and Sport";" Royal Armouries Museum";1;"GB"
"Department for Digital & Culture & Media and Sport";" Royal Museums Greenwich";1;"GB"
"Department for Digital & Culture & Media and Sport";" Science Museum Group";1;"GB"
"Department for Digital & Culture & Media and Sport";" Sir John Soane's Museum";1;"GB"
"Department for Digital & Culture & Media and Sport";" Sport England";1;"GB"
"Department for Digital & Culture & Media and Sport";" Sports Grounds Safety Authority";1;"GB"
"Department for Digital & Culture & Media and Sport";" Tate";1;"GB"
"Department for Digital & Culture & Media and Sport";" UK Anti-Doping";1;"GB"
"Department for Digital & Culture & Media and Sport";" UK Sport";1;"GB"
"Department for Digital & Culture & Media and Sport";" Victoria and Albert Museum";1;"GB"
"Department for Digital & Culture & Media and Sport";" VisitBritain";1;"GB"
"Department for Digital & Culture & Media and Sport";" VisitEngland";1;"GB"
"Department for Digital & Culture & Media and Sport";" Wallace Collection";1;"GB"
"Department for Digital & Culture & Media and Sport";" The Advisory Council on National Records and Archives";1;"GB"
"Department for Digital & Culture & Media and Sport";" The Reviewing Committee on the Export of Works of Art and Objects of Cultural Interest";1;"GB"
"Department for Digital & Culture & Media and Sport";" The Theatres Trust";1;"GB"
"Department for Digital & Culture & Media and Sport";" Treasure Valuation Committee";1;"GB"
"Department for Digital & Culture & Media and Sport";" BBC";1;"GB"
"Department for Digital & Culture & Media and Sport";" Channel 4";1;"GB"
"Department for Digital & Culture & Media and Sport";" Historic Royal Palaces";1;"GB"
"Department for Digital & Culture & Media and Sport";" English Institute of Sport";1;"GB"
"Department for Digital & Culture & Media and Sport";" National Citizen Service";1;"GB"
"Department for Digital & Culture & Media and Sport";" Ofcom";1;"GB"
"Department for Digital & Culture & Media and Sport";" S4C";1;"GB"
"Department for Digital & Culture & Media and Sport";" UK Council for Internet Safety";1;"GB"
"Department for Education";"Ofqual";1;"GB"
"Department for Education";"Ofsted";1;"GB"
"Department for Education";"Education and Skills Funding Agency";1;"GB"
"Department for Education";"Standards and Testing Agency";1;"GB"
"Department for Education";"Teaching Regulation Agency";1;"GB"
"Department for Education";"Construction Industry Training Board";1;"GB"
"Department for Education";"Engineering Construction Industry Training Board";1;"GB"
"Department for Education";"Equality and Human Rights Commission";1;"GB"
"Department for Education";"Institute for Apprenticeships and Technical Education";1;"GB"
"Department for Education";"LocatED";1;"GB"
"Department for Education";"Office for Students";1;"GB"
"Department for Education";"Office of the Children's Commissioner";1;"GB"
"Department for Education";"Student Loans Company";1;"GB"
"Department for Education";"School Teachers' Review Body";1;"GB"
"Department for Education";"Social Mobility Commission";1;"GB"
"Department for Education";"Child Safeguarding Practice Review Panel";1;"GB"
"Department for Education";"Independent Review Mechanism";1;"GB"
"Department for Education";"Office of the Schools Adjudicator";1;"GB"
"Department for Education";"UK Council for Internet Safety";1;"GB"
"Department for Environment";" Forestry Commission";1;"GB"
"Department for Environment";" The Water Services Regulation Authority";1;"GB"
"Department for Environment";" Animal and Plant Health Agency";1;"GB"
"Department for Environment";" Fisheries and Aquaculture Science";1;"GB"
"Department for Environment";" Rural Payments Agency";1;"GB"
"Department for Environment";" Veterinary Medicines Directorate";1;"GB"
"Department for Environment";" Agriculture and Horticulture Development Board";1;"GB"
"Department for Environment";" Board of Trustees of the Royal Botanic Gardens Kew";1;"GB"
"Department for Environment";" Consumer Council for Water";1;"GB"
"Department for Environment";" Environment Agency";1;"GB"
"Department for Environment";" Joint Nature Conservation Committee";1;"GB"
"Department for Environment";" Marine Management Organisation";1;"GB"
"Department for Environment";" National Forest Company";1;"GB"
"Department for Environment";" Natural England";1;"GB"
"Department for Environment";" Sea Fish Industry Authority";1;"GB"
"Department for Environment";" Advisory Committee on Releases to the Environment";1;"GB"
"Department for Environment";" Independent Agricultural Appeals Panel";1;"GB"
"Department for Environment";" Science Advisory Council";1;"GB"
"Department for Environment";" Veterinary Products Committee";1;"GB"
"Department for Environment";" Plant Varieties and Seeds Tribunal";1;"GB"
"Department for Environment";" Broads Authority";1;"GB"
"Department for Environment";" Covent Garden Market Authority";1;"GB"
"Department for Environment";" Dartmoor National Park Authority";1;"GB"
"Department for Environment";" Drinking Water Inspectorate";1;"GB"
"Department for Environment";" Exmoor National Park Authority";1;"GB"
"Department for Environment";" Lake District National Park Authority";1;"GB"
"Department for Environment";" New Forest National Park Authority";1;"GB"
"Department for Environment";" North York Moors National Park Authority";1;"GB"
"Department for Environment";" Northumberland National Park Authority";1;"GB"
"Department for Environment";" Peak District National Park Authority";1;"GB"
"Department for Environment";" South Downs National Park Authority";1;"GB"
"Department for Environment";" UK Co-ordinating Body";1;"GB"
"Department for Environment";" Yorkshire Dales National Park Authority";1;"GB"
"Department for International Development";"Commonwealth Scholarship Commission in the GB";1;"GB"
"Department for International Development";"Independent Commission for Aid Impact";1;"GB"
"Department for International Development";"Government Equalities Office";1;"GB"
"Department for International Trade";"Department for International Trade";1;"GB"
"Department for Transport";"Office of Rail and Road";1;"GB"
"Department for Transport";"Driver and Vehicle Licensing Agency";1;"GB"
"Department for Transport";"Driver and Vehicle Standards Agency";1;"GB"
"Department for Transport";"Maritime and Coastguard Agency";1;"GB"
"Department for Transport";"Vehicle Certification Agency";1;"GB"
"Department for Transport";"British Transport Police Authority";1;"GB"
"Department for Transport";"Directly Operated Railways Limited";1;"GB"
"Department for Transport";"High Speed Two (HS2) Limited";1;"GB"
"Department for Transport";"Northern Lighthouse Board";1;"GB"
"Department for Transport";"Transport Focus";1;"GB"
"Department for Transport";"Trinity House";1;"GB"
"Department for Transport";"Independent Commission on Civil Aviation Noise";1;"GB"
"Department for Transport";"Traffic Commissioners for Great Britain";1;"GB"
"Department for Transport";"Civil Aviation Authority";1;"GB"
"Department for Transport";"London and Continental Railways Limited";1;"GB"
"Department for Transport";"Air Accidents Investigation Branch";1;"GB"
"Department for Transport";"DfT OLR Holdings Limited";1;"GB"
"Department for Transport";"Disabled Persons Transport Advisory Committee";1;"GB"
"Department for Transport";"East West Railway Company Limited";1;"GB"
"Department for Transport";"Highways England";1;"GB"
"Department for Transport";"Marine Accident Investigation Branch";1;"GB"
"Department for Transport";"Network Rail";1;"GB"
"Department for Transport";"Rail Accident Investigation Branch";1;"GB"
"Department for Work and Pensions";"Disabled People’s Employment Corporation (GB) Ltd";1;"GB"
"Department for Work and Pensions";"Health and Safety Executive";1;"GB"
"Department for Work and Pensions";"The Pensions Advisory Service";1;"GB"
"Department for Work and Pensions";"The Pensions Regulator";1;"GB"
"Department for Work and Pensions";"Single Financial Guidance Body";1;"GB"
"Department for Work and Pensions";"Industrial Injuries Advisory Council";1;"GB"
"Department for Work and Pensions";"Social Security Advisory Committee";1;"GB"
"Department for Work and Pensions";"The Pension Protection Fund Ombudsman";1;"GB"
"Department for Work and Pensions";"The Pensions Ombudsman";1;"GB"
"Department for Work and Pensions";"National Employment Savings Trust (NEST) Corporation";1;"GB"
"Department for Work and Pensions";"Office for Nuclear Regulation";1;"GB"
"Department for Work and Pensions";"Pension Protection Fund";1;"GB"
"Department for Work and Pensions";"BPDTS Ltd";1;"GB"
"Department for Work and Pensions";"Independent Case Examiner";1;"GB"
"Department for Work and Pensions";"Remploy Pension Scheme Trustees Ltd";1;"GB"
"Department of Health and Social Care";"Medicines and Healthcare products Regulatory Agency";1;"GB"
"Department of Health and Social Care";"Public Health England";1;"GB"
"Department of Health and Social Care";"Care Quality Commission";1;"GB"
"Department of Health and Social Care";"Health Education England";1;"GB"
"Department of Health and Social Care";"Health Research Authority";1;"GB"
"Department of Health and Social Care";"Human Fertilisation and Embryology Authority";1;"GB"
"Department of Health and Social Care";"Human Tissue Authority";1;"GB"
"Department of Health and Social Care";"NHS Blood and Transplant";1;"GB"
"Department of Health and Social Care";"NHS Business Services Authority";1;"GB"
"Department of Health and Social Care";"NHS Digital";1;"GB"
"Department of Health and Social Care";"NHS England";1;"GB"
"Department of Health and Social Care";"NHS Litigation Authority";1;"GB"
"Department of Health and Social Care";"National Institute for Health and Care Excellence";1;"GB"
"Department of Health and Social Care";"Advisory Committee on Clinical Excellence Awards";1;"GB"
"Department of Health and Social Care";"British Pharmacopoeia Commission";1;"GB"
"Department of Health and Social Care";"Commission on Human Medicines";1;"GB"
"Department of Health and Social Care";"Committee on Mutagenicity of Chemicals in Food - Consumer Products and the Environment";1;"GB"
"Department of Health and Social Care";"Independent Reconfiguration Panel";1;"GB"
"Department of Health and Social Care";"NHS Pay Review Body";1;"GB"
"Department of Health and Social Care";"Review Body on Doctors' and Dentists' Remuneration";1;"GB"
"Department of Health and Social Care";"Accelerated Access Review";1;"GB"
"Department of Health and Social Care";"Administration of Radioactive Substances Advisory Committee";1;"GB"
"Department of Health and Social Care";"Morecambe Bay Investigation";1;"GB"
"Department of Health and Social Care";"NHS Counter Fraud Authority";1;"GB"
"Department of Health and Social Care";"NHS Improvement";1;"GB"
"Department of Health and Social Care";"National Data Guardian";1;"GB"
"Department of Health and Social Care";"National Information Board";1;"GB"
"Department of Health and Social Care";"Porton Biopharma Limited";1;"GB"
"Foreign and Commonwealth Office";"Wilton Park";1;"GB"
"Foreign and Commonwealth Office";"British Council";1;"GB"
"Foreign and Commonwealth Office";"Great Britain-China Centre";1;"GB"
"Foreign and Commonwealth Office";"Marshall Aid Commemoration Commission";1;"GB"
"Foreign and Commonwealth Office";"Westminster Foundation for Democracy";1;"GB"
"Foreign and Commonwealth Office";"BBC World Service";1;"GB"
"Foreign and Commonwealth Office";"Chevening Scholarship Programme";1;"GB"
"Foreign and Commonwealth Office";"FCO Services";1;"GB"
"Foreign and Commonwealth Office";"Government Communications Headquarters";1;"GB"
"Foreign and Commonwealth Office";"Secret Intelligence Service";1;"GB"
"HM Treasury";"NSandI";1;"GB"
"HM Treasury";"Government Internal Audit Agency";1;"GB"
"HM Treasury";"UK Debt Management Office";1;"GB"
